Y,X1,X2,X3,X4,X5,X6,X7
-0.032862499,959,0.0226481,251.5650024,65.73560333,13.32590008,2.659830093,54
-0.057475001,957,0.0202571,135,66.08010101,13.35280037,0,95
-0.050324999,958,0.036518998,168.6900024,66.92890167,13.38239956,0,299
-0.065147497,959,0.044853698,154.798996,68.91329956,13.3757,0,298
-0.021807499,958,0.0150988,71.56500244,60.89099884,13.33460045,3.990279913,54
-0.032587498,958,0.0452963,251.5650024,60.64039993,13.32940006,0,54
-0.0584375,959,0.0506428,188.1300049,60.7969017,13.38580036,0,170
-0.0617375,959,0.040514201,135,66.15930176,13.38409996,0,299
-0.059950002,957,0.0226481,108.4349976,68.53440094,13.4048996,0,299
-0.0125675,959,0.046903498,75.25640106,61.13510132,13.26200008,2.660550117,54
0.004455,956,0.036518998,191.3099976,61.0625,13.32759953,0,300
-0.068365,959,0.071619697,233.1300049,60.66329956,13.33930016,0,300
-0.00709501,960,0.0143239,180,60.47389984,13.34939957,0,300
-0.062177502,959,0.057295799,90,65.94000244,13.38939953,0,300
-0.05852,958,0.0143239,180,68.11930084,13.39420033,0,300
-0.060802501,960,0.038862798,100.6200027,62.26620102,13.20180035,0,54
-0.033824999,958,0.0452963,108.4349976,61.72200012,13.3039999,2.660909891,54
-0.017929999,957,0.0679444,198.4349976,61.42210007,13.30970001,5.321819782,172
-0.067649998,961,0.087129101,189.4620056,60.97919846,13.26949978,0,301
-0.059042498,959,0.0452963,198.4349976,60.76010132,13.25979996,0,236
-0.02035,960,0.036518998,191.3099976,60.52109909,13.27569962,0,300
-0.0198275,958,0.081028402,135,65.61799622,13.37240028,0,301
-0.072022498,958,0.036518998,168.6900024,67.8164978,13.41590023,0,236
-0.0342925,961,0.071619697,90,63.09529877,13.17380047,1.330629945,54
-0.038032498,960,0.032029301,116.5650024,62.39690018,13.20769978,1.330629945,54
-0.0264825,960,0.057295799,180,61.58190155,13.31760025,1.330629945,54
-0.062809996,961,0.083522201,210.9640045,61.27420044,13.23579979,0,301
-0.058244999,961,0.0452963,161.5650024,61.01599884,13.24619961,0,302
-0.053707499,959,0.032029301,153.4349976,60.79589844,13.26539993,49.23350143,236
-0.0064075,961,0.040514201,225,60.60490036,13.25759983,17.29820061,237
-0.0507375,962,0.0616096,125.538002,60.98270035,13.37709999,3.991899967,237
-0.057475001,959,0.0506428,135,67.42520142,13.36979961,7.983809948,172
-0.038912501,962,0.029141,34.99200058,62.36880112,13.29230022,0,172
-0.041552499,960,0.0516457,123.6900024,62.73279953,13.29039955,2.661629915,172
-0.0373725,960,0.059059098,165.9640045,61.89410019,13.27560043,0,54
-0.05742,960,0.054543901,203.1990051,61.54750061,13.27009964,0,302
-0.048042499,961,0.0516457,213.6900024,61.33269882,13.21370029,6.654069901,237
-0.056155,961,0.054543901,156.8009949,60.98720169,13.21189976,9.315699577,237
-0.0081125,961,0.0516457,146.3099976,60.85380173,13.23029995,25.28549957,237
-0.0073975,960,0,-1,60.66189957,13.26469994,22.62380028,237
-0.047959998,960,0.0226481,71.56500244,60.7276001,13.04500008,30.6086998,237
-0.062837496,959,0.0452963,161.5650024,67.25839996,12.83339977,18.63139915,497
-0.04642,960,0.0143239,180,62.94879913,13.33790016,0,174
-0.045759998,962,0.0226481,198.4349976,62.31520081,13.34039974,0,173
-0.0638825,962,0.042971801,180,62.64459991,13.24400043,0,173
-0.047189999,963,0.064854398,173.6600037,62.01940155,13.25189972,10.64799976,173
-0.01419,961,0.081658997,195.2550049,62.17900085,13.18939972,0,237
-0.0116875,963,0.073037997,191.3099976,61.3742981,13.23400021,19.96489906,108
-0.05621,962,0.059059098,165.9640045,61.11610031,13.20829964,18.63389969,497
-0.021834999,962,0.081658997,164.7449951,60.89429855,13.09379959,26.61989975,496
-0.0096525,960,0.099754602,158.9620056,60.71070099,13.04080009,29.28190041,496
-0.0243375,961,0.079106502,174.8059998,60.88499832,12.86130047,30.61289978,496
-0.0055825,961,0.099754602,201.0379944,65.65499878,12.85620022,33.27489853,497
-0.061077502,962,0.111465,133.2640076,63.43019867,13.32900047,0,175
-0.045512501,963,0.0679444,161.5650024,62.89250183,13.31169987,1.331169963,109
-0.030195,962,0.0202571,135,62.30730057,13.28579998,0,174
-0.060114998,962,0.0286479,270,62.07960129,13.28339958,0,174
-0.045155,962,0.0417611,210.9640045,61.81740189,13.22830009,13.31169987,497
-0.0052525,963,0.054543901,203.1990051,61.98429871,13.19659996,25.29229927,497
-0.038059998,964,0.042971801,180,61.18299866,13.24639988,14.64290047,109
-0.05852,962,0.057295799,180,61.0320015,13.21949959,49.25350189,498
-0.0125675,964,0.087129101,189.4620056,60.80960083,12.92469978,29.28580093,498
-0.01353,964,0.118118003,165.9640045,60.55580139,12.97270012,13.31169987,498
-0.005445,962,0.143239006,180,61.24069977,12.88370037,90.51989746,498
-0.0072875,962,0.176887006,201.3710022,65.64980316,12.93050003,115.8119965,498
-0.069272503,964,0.0226481,198.4349976,63.44309998,13.34179974,0,175
-0.0152625,964,0.0933806,175.6009979,63.04399872,13.32559967,0,175
-0.028434999,964,0.121964,139.7640076,62.58340073,13.27600002,0,110
-0.062507503,961,0.073737003,150.9450073,62.02899933,13.27009964,0,174
-0.077330001,962,0.083522201,210.9640045,61.71820068,13.29940033,3.99406004,174
-0.0540925,964,0.064058602,206.5650024,61.57849884,13.18400002,3.99406004,174
-0.0129525,964,0.0286479,180,61.38349915,13.19820023,63.90499878,498
-0.063662499,963,0.0516457,213.6900024,61.00080109,13.08479977,34.61520004,109
-0.007975,965,0.090592504,198.4349976,60.74739838,13.09319973,54.58560181,498
-0.0074525,964,0.079106502,185.1940002,60.61330032,12.6281004,25.29570007,500
-0.00946,965,0.0516457,146.3099976,60.86650085,12.84700012,27.95849991,499
-0.003575,965,0.071619697,216.8699951,60.63830185,12.86839962,295.5610046,498
-0.0077,968,0.132060006,220.6009979,65.35040283,12.88430023,367.45401,502
-0.022907499,965,0.055885799,160.0169983,63.16930008,13.3448,0,176
-0.058850002,963,0.0616096,215.5379944,62.84970093,13.30270004,2.663069963,110
-0.065449998,969,0.0516457,213.6900024,62.45899963,13.34070015,0,175
-0.0143,965,0.115483001,119.7450027,62.01850128,13.36149979,0,304
-0.065862499,964,0.087129101,170.5379944,61.56280136,13.2592001,0,304
-0.00363,965,0.099754602,201.0379944,61.90739822,13.26539993,0,109
-0.053295001,964,0.071619697,180,60.74459839,12.99120045,57.25600052,303
-0.064185001,964,0.071619697,180,60.45149994,13.09430027,75.89749908,240
-0.056155,964,0.103290997,213.6900024,60.7859993,12.88129997,30.62529945,240
-0.0024475,967,0.086538397,204.4440002,60.4618988,12.73349953,318.2369995,499
-0.0019525,966,0.0679444,161.5650024,60.8227005,12.73340034,30.62529945,499
-0.0103675,966,0.0771368,158.1990051,60.52560043,12.79030037,34.61989975,499
-0.0100925,962,0.091717899,218.6600037,60.42919922,12.92819977,408.7810059,305
-0.01639,968,0.059059098,255.9640045,64.99009705,12.97000027,49.26679993,508
-0.054945,971,0.070213303,35.31119919,66.14219666,13.09020042,0,56
-0.042102501,969,0.062482201,46.5481987,65.68170166,13.14319992,0,56
-0.067182504,969,0.032029301,153.4349976,65.64779663,13.14719963,0,56
-0.061847501,968,0.118600003,139.8990021,65.57730103,13.18089962,0,176
-0.0617375,966,0.099754602,158.9620056,65.4559021,13.24479961,0,177
-0.063634999,967,0.0933806,175.6009979,64.99909973,13.19620037,0,177
-0.064405002,966,0.064854398,173.6600037,65.2457962,13.16520023,7.990290165,175
-0.05522,965,0,-1,65.30539703,13.1960001,2.663429976,307
-0.0661925,966,0.0506428,98.13009644,64.54429626,13.22430038,0,305
-0.062040001,964,0.0506428,188.1300049,64.05090332,13.17029953,11.9854002,305
-0.061352499,966,0.0933806,212.470993,64.23049927,13.13930035,7.990290165,175
-0.047767501,966,0.121964,183.3659973,63.33470154,12.74209976,38.61980057,499
-0.046832498,966,0.143953994,185.7109985,62.90650177,12.76119995,39.95149994,499
-0.00121,967,0.118118003,194.0359955,63.22000122,12.83950043,127.8450012,500
-0.0241725,967,0.090592504,198.4349976,63.35649872,12.7592001,432.8080139,500
